timestamp,rule,strength,gain_dry,gain_fx_1,gain_fx_2,gain_fx_3,gain_fx_4,gain_full_mix,dry_valence,dry_arousal,fx_1_valence,fx_1_arousal,fx_2_valence,fx_2_arousal,fx_3_valence,fx_3_arousal,fx_4_valence,fx_4_arousal,full_mix_valence,full_mix_arousal,stress,attention,footpedal
13:23:06.2315,low_stress_low_attention,1.0,20,25,20,18,4,20,-0.132,-0.105,-0.057,-0.019,-0.049,-0.065,-0.059,-0.068,-0.142,-0.119,-0.038,0.008,13,25,127
13:23:06.7966,high_stress_low_attention,1.0,36,45,16,14,3,36,-0.29,-0.164,-0.194,-0.135,-0.199,-0.204,-0.215,-0.168,-0.298,-0.183,-0.043,-0.148,37,26,127
13:23:07.3681,high_stress_low_attention,1.0,49,61,13,11,2,49,-0.324,-0.185,-0.191,-0.138,-0.243,-0.254,-0.25,-0.201,-0.335,-0.204,-0.026,-0.098,63,29,127
13:23:07.9306,high_stress_low_attention,1.0,59,74,10,19,2,59,-0.288,-0.199,-0.157,-0.131,-0.188,-0.219,-0.23,-0.181,-0.3,-0.228,-0.056,-0.102,32,34,127
13:23:08.4955,low_stress_low_attention,1.0,67,85,27,29,9,67,-0.268,-0.198,-0.156,-0.136,-0.176,-0.229,-0.201,-0.181,-0.282,-0.23,-0.127,-0.068,14,41,127
13:23:09.0628,low_stress_low_attention,1.0,74,93,42,35,15,74,-0.263,-0.185,-0.155,-0.133,-0.177,-0.229,-0.21,-0.174,-0.272,-0.22,-0.109,-0.067,9,50,127
13:23:09.6309,low_stress_high_attention,1.0,79,74,44,42,31,79,-0.272,-0.184,-0.148,-0.123,-0.201,-0.222,-0.211,-0.172,-0.277,-0.216,-0.127,-0.094,6,56,127
13:23:10.2087,low_stress_high_attention,1.0,83,59,47,48,44,83,-0.271,-0.194,-0.148,-0.125,-0.209,-0.235,-0.211,-0.188,-0.278,-0.227,-0.114,-0.096,3,59,127
13:23:10.7923,low_stress_high_attention,1.0,86,47,47,52,54,86,-0.258,-0.194,-0.153,-0.128,-0.185,-0.227,-0.199,-0.196,-0.255,-0.225,-0.125,-0.101,6,57,127
13:23:11.3645,low_stress_high_attention,1.0,89,39,38,55,59,89,-0.244,-0.138,-0.152,-0.15,-0.156,-0.185,-0.197,-0.129,-0.253,-0.174,-0.118,-0.122,6,52,127
13:23:11.9390,low_stress_low_attention,1.0,91,57,49,49,66,91,-0.04,-0.009,0.026,0.054,-0.053,-0.075,-0.038,-0.026,-0.075,-0.067,-0.13,-0.097,5,47,127
13:23:12.5139,low_stress_low_attention,1.0,93,64,43,52,78,93,-0.03,0.014,-0.044,-0.04,-0.04,0.011,-0.006,0.042,-0.046,-0.06,-0.187,-0.161,3,44,127
13:23:13.0871,low_stress_low_attention,1.0,94,70,39,47,88,94,-0.022,0.031,-0.046,-0.017,-0.034,0.027,-0.016,0.045,-0.051,-0.035,-0.189,-0.163,2,41,127
13:23:13.6620,low_stress_low_attention,1.0,95,73,37,41,96,95,-0.032,0.025,-0.029,-0.021,-0.043,0.037,-0.034,0.017,-0.03,-0.043,-0.164,-0.263,2,40,127
13:23:14.2372,low_stress_low_attention,1.0,96,75,36,34,102,96,-0.038,0.023,-0.034,-0.011,-0.046,0.034,-0.037,0.021,-0.034,-0.028,-0.169,-0.262,2,41,127
13:23:14.8124,low_stress_low_attention,1.0,97,78,37,30,107,97,-0.039,0.021,-0.034,-0.018,-0.049,0.035,-0.045,0.022,-0.033,-0.035,-0.171,-0.263,2,43,127
13:23:15.3881,low_stress_low_attention,1.0,98,80,36,31,111,98,-0.036,0.029,-0.04,-0.007,-0.047,0.037,-0.048,0.022,-0.041,-0.024,-0.156,-0.24,2,44,127
13:23:15.9594,low_stress_low_attention,1.0,98,81,32,29,114,98,-0.036,0.02,-0.036,-0.017,-0.036,0.028,-0.028,0.021,-0.035,-0.034,-0.15,-0.218,4,41,127
13:23:16.5329,low_stress_low_attention,1.0,98,83,38,28,117,98,-0.034,0.022,-0.021,-0.011,-0.03,0.045,-0.033,0.03,-0.021,-0.026,-0.145,-0.2,5,38,127
13:23:17.1081,low_stress_low_attention,1.0,98,81,38,32,119,98,-0.033,0.027,-0.037,0.005,-0.029,0.037,-0.047,0.024,-0.037,-0.011,-0.156,-0.245,5,36,127
13:23:17.6824,high_stress_low_attention,1.0,98,65,56,26,95,98,-0.041,0.038,-0.037,0.029,-0.045,0.048,-0.033,0.034,-0.035,0.022,-0.159,-0.239,20,36,127
13:23:18.2587,high_stress_low_attention,1.0,98,52,70,21,76,98,-0.044,0.037,-0.036,0.022,-0.047,0.049,-0.042,0.033,-0.035,0.014,-0.16,-0.232,20,39,127
13:23:18.8328,low_stress_low_attention,1.0,98,60,68,26,86,98,-0.048,0.038,-0.037,0.025,-0.048,0.049,-0.042,0.032,-0.035,0.018,-0.149,-0.231,19,43,127
13:23:19.4086,low_stress_low_attention,1.0,98,65,65,29,94,98,-0.046,0.042,-0.037,0.026,-0.05,0.052,-0.04,0.036,-0.035,0.018,-0.153,-0.234,9,48,127
13:23:19.9829,low_stress_high_attention,1.0,98,58,56,45,75,98,-0.033,0.038,-0.032,0.018,-0.052,0.052,-0.037,0.04,-0.033,0.011,-0.151,-0.238,7,54,127
13:23:20.5586,low_stress_high_attention,1.0,98,52,48,52,60,98,-0.043,0.035,-0.02,0.032,-0.064,0.051,-0.052,0.042,-0.013,0.028,-0.154,-0.275,13,58,127
13:23:21.1342,low_stress_high_attention,1.0,98,57,38,57,57,98,-0.05,0.038,-0.036,0.035,-0.083,0.058,-0.063,0.047,-0.026,0.032,-0.151,-0.269,2,60,127
13:23:21.7210,low_stress_high_attention,1.0,98,62,30,54,59,98,-0.047,0.034,-0.034,0.036,-0.079,0.055,-0.071,0.04,-0.03,0.033,-0.137,-0.269,1,58,127
13:23:22.2991,low_stress_high_attention,1.0,98,56,24,54,47,98,-0.056,0.05,-0.041,0.04,-0.076,0.063,-0.07,0.051,-0.04,0.031,-0.119,-0.255,1,55,127
13:23:22.8764,low_stress_low_attention,1.0,98,60,45,50,59,98,-0.053,0.04,-0.04,0.037,-0.076,0.049,-0.058,0.045,-0.039,0.025,-0.138,-0.259,1,50,127
